position,instance_id,repo,difficulty,version,resolved,score,resolution_status,num_turns,action_count,main_turn,traj_num,session_time_s,env_init_time_s,main_len,total_token,summary_count,finish_accepted,stop_reason,f2p_success_count,f2p_failure_count,f2p_total,p2p_success_count,p2p_failure_count,p2p_total,generation_requests,generation_responses,prompt_tokens_mean,prompt_tokens_max,prompt_tokens_sum,response_chars_sum,summary_due_events,summary_created_events,event_span_s
11,django__django-13343,django/django,15 min - 1 hour,3.2,False,0.0,RESOLVED_NO,17,16,22,2,445.1952121257782,24,21085,55376,1,1,finish_accepted,0,1,1,116,14,130,17,17,17399.0,26585,295783,28116,1,1,491.8474862575531
12,django__django-14915,django/django,<15 min fix,4.1,True,1.0,RESOLVED_FULL,29,16,10,2,406.045578956604,33,2261,31097,1,1,finish_accepted,1,0,1,23,0,23,17,17,19660.29411764706,27214,334225,24062,1,1,469.40668654441833
13,sympy__sympy-20801,sympy/sympy,15 min - 1 hour,1.8,False,0.0,RESOLVED_NO,34,16,34,1,200.4824514389038,178,9622,15951,0,1,finish_accepted,0,1,1,96,0,96,16,16,11673.375,15799,186774,10138,0,0,400.60274863243103
14,pytest-dev__pytest-6197,pytest-dev/pytest,1-4 hours,5.2,False,0.0,RESOLVED_NO,34,16,34,1,353.8915183544159,266,16671,23790,0,1,finish_accepted,0,2,2,145,0,145,16,16,14843.1875,23533,237491,20272,0,0,648.2329318523407
15,matplotlib__matplotlib-24177,matplotlib/matplotlib,<15 min fix,3.6,False,0.0,RESOLVED_NO,34,16,34,1,335.07987332344055,15,21805,28544,0,1,finish_accepted,0,1,1,755,13,768,16,16,19295.8125,28272,308733,12097,0,0,474.27438020706177
16,sphinx-doc__sphinx-9698,sphinx-doc/sphinx,<15 min fix,4.3,True,1.0,RESOLVED_FULL,36,17,36,1,328.68066906929016,690,17163,23593,0,1,finish_accepted,1,0,1,45,0,45,17,17,16256.35294117647,22965,276358,18544,0,0,1037.463944196701
17,django__django-11740,django/django,15 min - 1 hour,3.0,False,0.0,RESOLVED_NO,29,16,10,2,248.0009045600891,24,8751,37538,1,1,finish_accepted,0,1,1,109,0,109,17,17,13543.882352941177,22017,230246,16294,1,1,290.8538522720337
18,psf__requests-1724,psf/requests,<15 min fix,2.0,False,0.0,RESOLVED_NO,17,15,19,2,575.4349842071533,166,9022,37917,1,1,finish_accepted,6,0,6,75,4,79,16,16,14207.125,27270,227314,36221,1,1,1049.2865993976593
19,matplotlib__matplotlib-13989,matplotlib/matplotlib,<15 min fix,3.0,False,0.0,RESOLVED_NO,21,16,18,2,250.59945607185364,13,14761,44959,1,1,finish_accepted,0,1,1,411,0,411,17,17,15992.29411764706,26077,271869,14088,1,1,360.0917685031891
20,astropy__astropy-8707,astropy/astropy,15 min - 1 hour,3.1,False,0.0,RESOLVED_NO,34,16,34,1,367.38243865966797,9,21335,27684,0,1,finish_accepted,0,1,1,11,0,11,16,16,22089.375,27218,353430,14022,0,0,394.36852073669434
21,django__django-13363,django/django,<15 min fix,3.2,True,1.0,RESOLVED_FULL,31,18,12,2,300.0361976623535,24,11459,40197,1,0,no_finish,1,0,1,76,0,76,19,19,15292.368421052632,27278,290555,17794,1,1,343.17098689079285
22,django__django-14999,django/django,<15 min fix,4.1,False,0.0,RESOLVED_NO,19,16,20,2,528.1127018928528,33,25342,54382,1,0,no_finish,0,1,1,105,8,113,17,17,16674.58823529412,30570,283468,31289,2,1,592.5755522251129
23,django__django-11133,django/django,<15 min fix,3.0,False,0.0,RESOLVED_NO,34,16,34,1,294.27320742607117,30,14722,21066,0,1,finish_accepted,0,1,1,64,0,64,16,16,12962.6875,20237,207403,18596,0,0,352.86517548561096
24,django__django-13551,django/django,<15 min fix,3.2,False,0.0,RESOLVED_NO,23,16,16,2,335.22596311569214,32,5982,35225,1,1,finish_accepted,0,2,2,56,0,56,17,17,16528.29411764706,28030,280981,21790,1,1,398.5699722766876
25,django__django-16100,django/django,<15 min fix,4.2,True,1.0,RESOLVED_FULL,31,18,12,2,387.10198998451233,25,869,33109,1,0,no_finish,1,0,1,59,0,59,19,19,14732.736842105263,23891,279922,25794,1,1,432.42965269088745
26,django__django-15128,django/django,1-4 hours,4.1,False,0.0,RESOLVED_NO,31,18,12,2,450.12067890167236,25,1265,30069,1,0,no_finish,0,1,1,282,0,282,19,19,17668.947368421053,27442,335710,26212,1,1,495.4150025844574
27,pydata__xarray-4094,pydata/xarray,<15 min fix,0.12,False,0.0,RESOLVED_NO,34,16,34,1,166.11084985733032,522,8426,15201,0,1,finish_accepted,0,1,1,862,0,862,16,16,11658.9375,15200,186543,9548,0,0,740.91481590271
28,sphinx-doc__sphinx-10466,sphinx-doc/sphinx,15 min - 1 hour,5.0,False,0.0,RESOLVED_NO,34,16,34,1,276.10974192619324,205,10702,17798,0,1,finish_accepted,0,1,1,6,0,6,16,16,13476.25,17569,215620,17357,0,0,502.35420775413513
29,django__django-12155,django/django,15 min - 1 hour,3.1,False,0.0,RESOLVED_NO,34,16,34,1,404.5186712741852,23,19789,26136,0,1,finish_accepted,0,1,1,6,0,6,16,16,17841.0,25620,285456,24041,0,0,446.9018771648407
30,sympy__sympy-14711,sympy/sympy,<15 min fix,1.1,True,1.0,RESOLVED_FULL,34,16,34,1,422.454665184021,781,16934,23387,0,1,finish_accepted,1,0,1,2,0,2,16,16,16222.625,23385,259562,23871,0,0,1220.863336801529
31,sphinx-doc__sphinx-7757,sphinx-doc/sphinx,15 min - 1 hour,3.1,False,0.0,RESOLVED_NO,25,18,18,2,297.6776874065399,187,10354,38899,1,0,no_finish,0,1,1,33,0,33,19,19,14580.105263157895,26465,277022,18611,1,1,503.55545449256897
32,django__django-13410,django/django,<15 min fix,3.2,True,1.0,RESOLVED_FULL,34,16,34,1,367.40842938423157,24,9772,16314,0,1,finish_accepted,2,0,2,40,0,40,16,16,11953.8125,15923,191261,23532,0,0,411.1906831264496
33,matplotlib__matplotlib-20676,matplotlib/matplotlib,<15 min fix,3.4,False,0.0,RESOLVED_NO,19,16,20,2,255.16258597373962,17,11419,40551,1,1,finish_accepted,0,2,2,32,0,32,17,17,15585.176470588236,25496,264948,15232,1,1,308.4345898628235
34,pytest-dev__pytest-5840,pytest-dev/pytest,15 min - 1 hour,5.1,False,0.0,RESOLVED_NO,31,18,12,2,510.90133142471313,180,6757,36295,1,0,no_finish,0,2,2,51,0,51,19,19,14924.157894736842,27588,283559,32918,1,1,706.629953622818
35,pydata__xarray-6461,pydata/xarray,<15 min fix,2022.03,False,0.0,RESOLVED_NO,34,16,34,1,194.49848341941833,501,13611,20075,0,1,finish_accepted,0,1,1,247,0,247,16,16,13892.0,19709,222272,10872,0,0,738.3805425167084
36,scikit-learn__scikit-learn-12682,scikit-learn/scikit-learn,15 min - 1 hour,0.22,False,0.0,NO_REPORT,21,16,18,2,282.7181465625763,904,6325,35365,1,1,finish_accepted,0,0,0,0,0,0,17,17,11741.235294117647,25204,199601,15091,1,1,1788.5221865177155
37,pydata__xarray-6992,pydata/xarray,>4 hours,2022.06,False,0.0,RESOLVED_NO,34,16,34,1,434.3049895763397,1223,14270,20867,0,1,finish_accepted,0,12,12,945,0,945,16,16,14731.3125,19992,235701,18425,0,0,1731.1101806163788
38,scikit-learn__scikit-learn-13779,scikit-learn/scikit-learn,<15 min fix,0.22,False,0.0,RESOLVED_NO,9,16,30,2,238.2254638671875,332,5176,37914,1,1,finish_accepted,0,2,2,18,0,18,17,17,10690.588235294117,21830,181740,13414,1,1,610.3495583534241
39,django__django-12209,django/django,<15 min fix,3.1,True,1.0,RESOLVED_FULL,34,16,34,1,407.1941087245941,23,20039,26482,0,1,finish_accepted,1,0,1,0,0,0,16,16,18190.75,26187,291052,25084,0,0,449.9127974510193
40,pydata__xarray-4695,pydata/xarray,15 min - 1 hour,0.12,False,0.0,RESOLVED_NO,38,18,38,1,343.74699902534485,605,18347,25884,0,0,no_finish,0,1,1,875,0,875,18,18,15135.111111111111,25715,272432,12788,0,0,1008.6539695262909
41,django__django-13925,django/django,15 min - 1 hour,4.0,False,0.0,RESOLVED_NO,31,16,8,2,288.2674331665039,34,1875,30558,1,1,finish_accepted,0,2,2,24,0,24,17,17,13499.35294117647,27564,229489,17587,1,1,353.33931016921997
42,astropy__astropy-14508,astropy/astropy,15 min - 1 hour,5.1,False,0.0,RESOLVED_NO,34,16,34,1,426.5434191226959,6,17767,24825,0,1,finish_accepted,1,0,1,173,1,174,16,16,16665.75,24191,266652,25310,0,0,450.77682614326477
43,pytest-dev__pytest-7205,pytest-dev/pytest,<15 min fix,5.4,True,1.0,RESOLVED_FULL,34,16,34,1,262.57500863075256,288,9837,17329,0,1,finish_accepted,10,0,10,16,0,16,16,16,11948.8125,17055,191181,14953,0,0,563.5450541973114
44,django__django-13028,django/django,15 min - 1 hour,3.2,False,0.0,RESOLVED_NO,27,16,12,2,485.483873128891,33,4275,34071,1,1,finish_accepted,0,2,2,276,0,276,17,17,15481.0,27724,263177,32461,1,1,549.2064518928528
45,sympy__sympy-13852,sympy/sympy,1-4 hours,1.1,False,0.0,RESOLVED_NO,19,16,20,2,389.53696036338806,288,3140,40099,1,1,finish_accepted,0,1,1,4,0,4,17,17,11165.882352941177,24441,189820,20242,1,1,692.5824229717255
46,django__django-16136,django/django,15 min - 1 hour,4.2,False,0.0,RESOLVED_NO,34,16,34,1,269.9988021850586,26,11994,18797,0,1,finish_accepted,0,2,2,7,0,7,16,16,11594.3125,18503,185509,15598,0,0,315.625075340271
47,django__django-16485,django/django,15 min - 1 hour,5.0,True,1.0,RESOLVED_FULL,34,16,34,1,626.4011080265045,25,23252,29477,0,1,finish_accepted,1,0,1,9,0,9,16,16,19146.5,28807,306344,33464,0,0,670.9946568012238
48,sphinx-doc__sphinx-9258,sphinx-doc/sphinx,<15 min fix,4.1,False,0.0,RESOLVED_NO,21,16,18,2,304.9303753376007,1390,16353,46096,1,1,finish_accepted,0,1,1,45,0,45,17,17,13763.35294117647,23319,233977,18130,1,1,1716.9002606868744
49,django__django-15569,django/django,<15 min fix,4.1,False,0.0,RESOLVED_NO,29,16,10,2,249.3211646080017,24,6301,36447,1,1,finish_accepted,0,2,2,242,0,242,17,17,15610.0,27542,265370,14157,1,1,295.2621212005615
50,astropy__astropy-13033,astropy/astropy,15 min - 1 hour,4.3,False,0.0,RESOLVED_NO,34,16,34,1,326.80362844467163,6,8562,15461,0,1,finish_accepted,0,1,1,19,1,20,16,16,10931.9375,15206,174911,21605,0,0,349.52709698677063
51,scikit-learn__scikit-learn-12585,scikit-learn/scikit-learn,<15 min fix,0.21,True,1.0,RESOLVED_FULL,29,14,29,1,415.7045156955719,2340,15191,21680,0,1,finish_accepted,1,0,1,22,0,22,14,14,15139.714285714286,20853,211956,26697,0,0,2777.7297179698944
52,sympy__sympy-20590,sympy/sympy,15 min - 1 hour,1.7,False,0.0,RESOLVED_NO,34,16,34,1,295.2047848701477,869,14130,20480,0,1,finish_accepted,0,1,1,21,0,21,16,16,14061.4375,20480,224983,16268,0,0,1182.625816822052
53,sympy__sympy-20916,sympy/sympy,<15 min fix,1.8,False,0.0,NO_REPORT,5,2,5,1,51.147263050079346,2460,896,7075,0,0,no_finish,0,0,0,0,0,0,2,2,6542.0,6820,13084,3725,0,0,2511.2180325984955
54,django__django-14765,django/django,<15 min fix,4.0,True,1.0,RESOLVED_FULL,34,16,34,1,506.64383363723755,24,20329,26619,0,1,finish_accepted,1,0,1,64,0,64,16,16,18888.5625,25916,302217,21607,0,0,549.4495630264282
55,pydata__xarray-4687,pydata/xarray,15 min - 1 hour,0.12,False,0.0,NO_REPORT,5,2,5,1,32.65561580657959,2460,589,8122,0,0,no_finish,0,0,0,0,0,0,2,2,7861.5,8105,15723,2457,0,0,2492.73601937294
56,django__django-14017,django/django,15 min - 1 hour,4.0,False,0.0,RESOLVED_NO,34,16,34,1,366.9218201637268,32,21409,27976,0,1,finish_accepted,0,2,2,147,0,147,16,16,20854.125,27946,333666,20911,0,0,429.0068018436432
57,matplotlib__matplotlib-24570,matplotlib/matplotlib,<15 min fix,3.6,False,0.0,RESOLVED_NO,34,16,34,1,318.2957651615143,17,15965,22590,0,1,finish_accepted,0,2,2,267,0,267,16,16,16957.25,22591,271316,18621,0,0,364.4891667366028
58,sympy__sympy-16886,sympy/sympy,<15 min fix,1.5,True,1.0,RESOLVED_FULL,34,16,34,1,262.7389621734619,820,14889,21091,0,1,finish_accepted,1,0,1,42,0,42,16,16,14429.0625,20878,230865,14806,0,0,1098.3489165306091
59,astropy__astropy-7671,astropy/astropy,15 min - 1 hour,1.3,True,1.0,RESOLVED_FULL,34,16,34,1,338.3783423900604,8,13750,20491,0,1,finish_accepted,1,0,1,3,0,3,16,16,13853.0625,20254,221649,20902,0,0,361.5963933467865
60,pylint-dev__pylint-6386,pylint-dev/pylint,15 min - 1 hour,2.14,False,0.0,RESOLVED_NO,34,16,34,1,188.3682816028595,2422,21243,27644,0,1,finish_accepted,0,1,1,7,0,7,16,16,13899.6875,27313,222395,11100,0,0,2628.393036842346
61,astropy__astropy-13579,astropy/astropy,1-4 hours,5.0,False,0.0,RESOLVED_NO,34,16,34,1,442.4547634124756,7,20550,28297,0,1,finish_accepted,0,1,1,40,0,40,16,16,19457.3125,27661,311317,16132,0,0,466.21386647224426
62,django__django-14034,django/django,15 min - 1 hour,4.0,False,0.0,RESOLVED_NO,23,18,20,2,449.29542994499207,24,5684,37580,1,0,no_finish,0,1,1,12,0,12,19,19,12864.947368421053,22203,244434,23658,1,1,495.5716006755829
63,pylint-dev__pylint-4551,pylint-dev/pylint,1-4 hours,2.9,False,0.0,RESOLVED_NO,25,16,14,2,315.28759121894836,1616,3301,33839,1,1,finish_accepted,0,10,10,0,0,0,17,17,11908.823529411764,26327,202450,21126,1,1,1947.26344704628
64,sphinx-doc__sphinx-9711,sphinx-doc/sphinx,<15 min fix,4.3,True,1.0,RESOLVED_FULL,34,16,34,1,285.8164086341858,1158,10251,16823,0,1,finish_accepted,1,0,1,0,0,0,16,16,12594.0,16527,201504,19023,0,0,1461.7674720287323
65,sympy__sympy-17655,sympy/sympy,<15 min fix,1.5,False,0.0,RESOLVED_NO,25,12,25,1,445.1545076370239,2286,14942,21611,0,1,finish_accepted,0,2,2,9,0,9,12,12,15720.0,20810,188640,24864,0,0,2760.2503039836884
66,django__django-16938,django/django,15 min - 1 hour,5.0,False,0.0,RESOLVED_NO,34,16,34,1,308.3526666164398,25,10059,17291,0,1,finish_accepted,0,23,23,65,0,65,16,16,12077.0625,16913,193233,20047,0,0,353.8254737854004
67,django__django-16667,django/django,15 min - 1 hour,5.0,False,0.0,RESOLVED_PARTIAL,34,16,34,1,339.07170510292053,24,16579,23199,0,1,finish_accepted,1,1,2,24,0,24,16,16,16740.0,22693,267840,21322,0,0,383.54024171829224
68,sympy__sympy-24443,sympy/sympy,15 min - 1 hour,1.12,False,0.0,RESOLVED_NO,34,16,34,1,301.7517855167389,206,14696,21070,0,1,finish_accepted,0,1,1,1,0,1,16,16,12788.4375,20725,204615,16950,0,0,523.8799216747284
69,matplotlib__matplotlib-23412,matplotlib/matplotlib,15 min - 1 hour,3.5,False,0.0,RESOLVED_NO,34,16,34,1,211.17891263961792,18,19691,26521,0,1,finish_accepted,0,1,1,46,0,46,16,16,17103.1875,26290,273651,12669,0,0,253.201110124588
70,django__django-12308,django/django,<15 min fix,3.1,False,0.0,RESOLVED_NO,29,16,10,2,367.41100454330444,32,1907,31105,1,1,finish_accepted,0,2,2,20,0,20,17,17,14967.35294117647,27953,254445,19317,1,1,429.230562210083
71,matplotlib__matplotlib-22871,matplotlib/matplotlib,15 min - 1 hour,3.5,False,0.0,RESOLVED_NO,34,16,34,1,212.37579655647278,18,18597,25206,0,1,finish_accepted,0,1,1,51,37,88,16,16,18987.0,25167,303792,12421,0,0,256.4038915634155
72,django__django-17087,django/django,<15 min fix,5.0,True,1.0,RESOLVED_FULL,31,16,8,2,465.2573871612549,34,2102,31132,1,1,finish_accepted,1,0,1,53,0,53,17,17,17914.58823529412,27716,304548,30927,1,1,530.0259830951691
73,scikit-learn__scikit-learn-9288,scikit-learn/scikit-learn,15 min - 1 hour,0.22,False,0.0,NO_REPORT,23,16,16,2,266.8357934951782,1018,2555,31289,1,1,finish_accepted,0,0,0,0,0,0,17,17,10728.588235294117,20251,182386,14549,1,1,1886.0826597213745
74,django__django-11299,django/django,<15 min fix,3.0,False,0.0,RESOLVED_NO,29,18,14,2,289.1984179019928,23,8887,37531,1,0,no_finish,0,1,1,103,0,103,19,19,15528.736842105263,27187,295046,18467,1,1,332.6583912372589
75,django__django-16595,django/django,<15 min fix,5.0,False,0.0,RESOLVED_NO,25,18,18,2,383.59640979766846,33,15579,46524,1,0,no_finish,0,1,1,37,0,37,19,19,14183.842105263158,23523,269493,19640,1,1,447.0343999862671
76,scikit-learn__scikit-learn-15100,scikit-learn/scikit-learn,15 min - 1 hour,0.22,False,0.0,RESOLVED_NO,31,18,12,2,311.98631858825684,715,2034,30775,1,0,no_finish,0,1,1,93,0,93,19,19,17001.36842105263,27787,323026,19736,1,1,1050.4340236186981
77,sphinx-doc__sphinx-9229,sphinx-doc/sphinx,1-4 hours,4.1,False,0.0,RESOLVED_NO,34,16,34,1,252.2175271511078,437,18901,26147,0,1,finish_accepted,0,1,1,13,0,13,16,16,17560.4375,25811,280967,16583,0,0,709.5371141433716
78,matplotlib__matplotlib-22865,matplotlib/matplotlib,15 min - 1 hour,3.5,False,0.0,RESOLVED_NO,34,16,34,1,313.1166195869446,18,19891,26539,0,1,finish_accepted,0,3,3,57,0,57,16,16,18792.0625,25982,300673,19165,0,0,357.569860458374
79,sphinx-doc__sphinx-9281,sphinx-doc/sphinx,<15 min fix,4.1,False,0.0,RESOLVED_NO,33,15,33,1,170.0496096611023,1437,27731,34114,0,0,no_finish,0,1,1,38,0,38,15,15,10697.933333333332,26195,160469,11275,0,0,1625.4853854179382
80,django__django-14351,django/django,15 min - 1 hour,4.0,False,0.0,RESOLVED_NO,34,16,34,1,302.9442455768585,24,17497,26273,0,1,finish_accepted,0,1,1,58,0,58,16,16,19120.1875,25994,305923,19701,0,0,346.37979221343994
81,django__django-14122,django/django,15 min - 1 hour,4.0,False,0.0,RESOLVED_NO,31,18,12,2,495.76251339912415,25,8900,38889,1,0,no_finish,0,1,1,26,0,26,19,19,11956.947368421053,26589,227182,31595,1,1,539.6301219463348
82,matplotlib__matplotlib-26466,matplotlib/matplotlib,15 min - 1 hour,3.7,False,0.0,RESOLVED_NO,34,16,34,1,196.3753306865692,18,17331,23955,0,1,finish_accepted,0,1,1,100,0,100,16,16,12960.5,23711,207368,12377,0,0,249.66499757766724
83,django__django-10914,django/django,<15 min fix,3.0,False,0.0,RESOLVED_NO,34,16,34,1,305.19719219207764,32,20778,27166,0,1,finish_accepted,0,1,1,98,0,98,16,16,16052.4375,26491,256839,19320,0,0,366.6257257461548
84,django__django-12754,django/django,15 min - 1 hour,3.2,False,0.0,RESOLVED_NO,34,16,34,1,279.7973473072052,23,17049,23405,0,1,finish_accepted,0,1,1,112,0,112,16,16,12458.75,23099,199340,19336,0,0,322.23171496391296
85,django__django-11239,django/django,<15 min fix,3.0,False,0.0,RESOLVED_NO,34,16,34,1,348.6019399166107,23,13747,20216,0,1,finish_accepted,0,1,1,5,0,5,16,16,12283.3125,19542,196533,22312,0,0,390.10291814804077
86,django__django-14349,django/django,15 min - 1 hour,4.0,True,1.0,RESOLVED_FULL,19,16,20,2,364.24291133880615,24,23199,51843,1,0,no_finish,1,0,1,18,0,18,17,17,16363.35294117647,29939,278177,22316,2,1,411.51397943496704
87,django__django-14315,django/django,<15 min fix,4.0,False,0.0,RESOLVED_PARTIAL,38,18,38,1,411.36166620254517,25,16426,22768,0,0,no_finish,7,4,11,0,0,0,18,18,13033.222222222223,21966,234598,26449,0,0,455.96816396713257
88,django__django-16315,django/django,15 min - 1 hour,4.2,False,0.0,RESOLVED_NO,38,18,38,1,223.8863229751587,25,19543,26051,0,0,no_finish,0,1,1,42,0,42,18,18,17346.166666666668,25985,312231,13480,0,0,269.2419686317444
89,django__django-16333,django/django,<15 min fix,4.2,True,1.0,RESOLVED_FULL,27,18,16,2,411.34006094932556,25,2199,31032,1,0,no_finish,1,0,1,87,0,87,19,19,15437.21052631579,27340,293307,26274,1,1,456.47394371032715
90,matplotlib__matplotlib-25311,matplotlib/matplotlib,<15 min fix,3.7,False,0.0,RESOLVED_NO,34,16,34,1,210.36302256584167,18,18820,25214,0,1,finish_accepted,0,1,1,181,0,181,16,16,15544.5625,24874,248713,12953,0,0,258.4246451854706
91,scikit-learn__scikit-learn-10844,scikit-learn/scikit-learn,15 min - 1 hour,0.20,False,0.0,NO_REPORT,5,2,5,1,51.920644998550415,2460,928,7668,0,0,no_finish,0,0,0,0,0,0,2,2,7115.0,7405,14230,3595,0,0,2512.0971236228943
92,sympy__sympy-13031,sympy/sympy,15 min - 1 hour,1.1,False,0.0,RESOLVED_NO,31,16,8,2,409.7285211086273,231,1960,32360,1,1,finish_accepted,0,1,1,9,0,9,17,17,14596.058823529413,28027,248133,22363,1,1,657.6392548084259
93,mwaskom__seaborn-3069,mwaskom/seaborn,15 min - 1 hour,0.12,False,0.0,RESOLVED_NO,27,16,12,2,237.18135261535645,1,10937,43432,1,1,finish_accepted,0,2,2,94,0,94,17,17,11570.35294117647,24381,196696,15252,1,1,295.65047788619995
94,django__django-13741,django/django,<15 min fix,3.2,True,1.0,RESOLVED_FULL,27,16,12,2,342.34197902679443,25,1730,32340,1,1,finish_accepted,1,0,1,82,0,82,17,17,18096.941176470587,27402,307648,22387,1,1,387.30921602249146
95,django__django-14373,django/django,<15 min fix,4.0,True,1.0,RESOLVED_FULL,38,18,38,1,383.76404309272766,24,14280,20490,0,0,no_finish,1,0,1,19,0,19,18,18,13903.666666666666,20020,250266,21189,0,0,428.0431866645813
96,sympy__sympy-19954,sympy/sympy,<15 min fix,1.7,True,1.0,RESOLVED_FULL,34,16,34,1,259.7967863082886,2271,8756,15232,0,1,finish_accepted,1,0,1,56,0,56,16,16,10781.5625,14988,172505,15155,0,0,2548.428188562393
97,sympy__sympy-14976,sympy/sympy,15 min - 1 hour,1.2,False,0.0,NO_REPORT,5,2,5,1,40.36638927459717,2460,735,7148,0,0,no_finish,0,0,0,0,0,0,2,2,6617.5,6737,13235,3030,0,0,2500.529839992523
98,sympy__sympy-24661,sympy/sympy,15 min - 1 hour,1.12,False,0.0,NO_REPORT,5,2,5,1,21.532455682754517,2460,405,6626,0,0,no_finish,0,0,0,0,0,0,2,2,6418.5,6531,12837,1690,0,0,2481.6941401958466
99,django__django-11451,django/django,<15 min fix,3.0,False,0.0,RESOLVED_NO,34,16,34,1,361.59215116500854,24,20780,27430,0,1,finish_accepted,6,0,6,44,1,45,16,16,15139.0,26965,242224,24955,0,0,400.76927280426025
100,django__django-16263,django/django,1-4 hours,4.2,False,0.0,RESOLVED_NO,19,16,20,2,228.37709426879883,24,5075,35094,1,1,finish_accepted,0,3,3,100,0,100,17,17,11834.64705882353,22036,201189,15091,1,1,272.8891739845276
101,django__django-15732,django/django,15 min - 1 hour,4.2,False,0.0,RESOLVED_NO,38,18,38,1,295.17601799964905,25,23238,29550,0,0,no_finish,0,1,1,125,0,125,18,18,15097.555555555555,28722,271756,20482,0,0,341.58047580718994
102,django__django-10554,django/django,1-4 hours,3.0,False,0.0,RESOLVED_NO,38,18,38,1,209.64132809638977,23,15611,22683,0,0,no_finish,0,2,2,23,0,23,18,18,15587.222222222223,22414,280570,13180,0,0,251.31710243225098
103,django__django-12050,django/django,15 min - 1 hour,3.1,True,1.0,RESOLVED_FULL,34,16,34,1,324.892498254776,22,15296,21522,0,1,finish_accepted,1,0,1,10,0,10,16,16,15611.125,21008,249778,21228,0,0,366.38647294044495
104,django__django-16631,django/django,1-4 hours,5.0,False,0.0,RESOLVED_NO,38,18,38,1,371.53104305267334,25,18325,24677,0,0,no_finish,0,1,1,12,0,12,18,18,11881.666666666666,23685,213870,23349,0,0,416.32848286628723
105,django__django-13820,django/django,15 min - 1 hour,3.2,True,1.0,RESOLVED_FULL,34,16,34,1,404.7220413684845,23,13837,20445,0,1,finish_accepted,1,0,1,24,0,24,16,16,14837.125,19991,237394,27480,0,0,451.9692347049713
106,scikit-learn__scikit-learn-13496,scikit-learn/scikit-learn,<15 min fix,0.21,False,0.0,RESOLVED_NO,27,16,12,2,241.44256711006165,587,10611,41976,1,1,finish_accepted,0,1,1,19,0,19,17,17,15428.823529411764,24231,262290,15062,1,1,856.2890284061432
107,scikit-learn__scikit-learn-25232,scikit-learn/scikit-learn,<15 min fix,1.3,False,0.0,NO_REPORT,5,2,5,1,18.169990301132202,2460,341,6783,0,0,no_finish,0,0,0,0,0,0,2,2,6659.5,6792,13319,1305,0,0,2478.333787202835
